id,name,price,category,description,image,recommended,collection,specifications,faqs,varieties,tags,sku,stock,weight,meta_title,meta_description,instagram_url
customized-8-photo-frame,Customized 8 Photo Frame,129,Frame,A beautiful handcrafted customized 8 photo frame.,/Products/Customized-8-Photo-Frame/image.png,FALSE,frame,Color: Black lMaterial: Wooden lProduct Length: 9 inch lProduct Breadth: 0.5 inch lProduct Height: 13 inch lWeight: 0.3 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India lVariant / Selection Text lStyle: Customized 8–12 Photo Birthday Collage Frame l,,,frames,customized-8-photo-frame,-1,0,Customized 8 Photo Frame,A beautiful handcrafted customized 8 photo frame.,
collage-3d-cutout-frame,Custom Collage 3D Cutout Frame,139,Frame,A beautiful handcrafted collage 3d cutout frame.,/Products/Collage-3D-Cutout-Frame/image.png,FALSE,frame,Color: Black lMaterial: Handicraft lProduct Length: 10 inch lProduct Breadth: 0.5 inch lProduct Height: 12 inch lWeight: 0.3 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India l ,,,frames,collage-3d-cutout-frame,-1,0,Collage 3D Cutout Frame,A beautiful handcrafted collage 3d cutout frame.,
trendy-cutout-5-photo-frame,Trendy Cutout 5 Photo Frame,149,Frame,A beautiful handcrafted trendy cutout 5 photo frame.,/Products/Trendy-Cutout-5-Photo-Frame/image.png,FALSE,frame,Color: Black lMaterial: Wooden lProduct Length: 9 inch lProduct Breadth: 0.5 inch lProduct Height: 12 inch lWeight: 0.2 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India l,,,frames,trendy-cutout-5-photo-frame,-1,0,Trendy Cutout 5 Photo Frame,A beautiful handcrafted trendy cutout 5 photo frame.,
pixelated-frame,Retro Pixel Custom Frame 4x4,149,Frame,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size. Share a photo with us during checkout and watch us transform it into beautiful, physical pixel art!",/Products/Pixel-Frame-4x4/Frame4x4.png,TRUE,pixelated,Color: White | Product Length: 8 Inch | Product Breadth: 0.5 Inch | Product Height: 12 Inch | Weight: 100 g | Material: Plastic | Type: Digital Photo Frame | Generic Name: Photo Frames | Country of Origin: India | Net Quantity (N): 1,"How do I send my photo? | After checkout, you will be redirected to WhatsApp. Send your high-res photo to us directly in the chat, and we will send you a digital mockup for approval before printing!",,,,,,pixelated-frame,-1,0,Retro Pixel Custom Frame 4x4,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size.",
pixel-frame-4x4-stand,Retro Pixel Custom Frame 4x4 with Stand,169,Frame,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size, complete with a plastic stand for tabletop display. Share a photo with us during checkout and watch us transform it into beautiful, physical pixel art!",/Products/Pixel-Frame-4x4-Stand/image.png,FALSE,pixelated,Color: White | Product Length: 8 Inch | Product Breadth: 0.5 Inch | Product Height: 12 Inch | Weight: 100 g | Material: Plastic | Type: Digital Photo Frame | Generic Name: Photo Frames | Country of Origin: India | Net Quantity (N): 1,"How do I send my photo? | After checkout, you will be redirected to WhatsApp. Send your high-res photo to us directly in the chat, and we will send you a digital mockup for approval before printing!",,,,,,pixel-frame-4x4-stand,-1,0,Retro Pixel Custom Frame 4x4 with Stand,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size, complete with a plastic stand for tabletop display.",
101-why-i-love-you,101 Why I Love You,159,Hamper,A beautiful handcrafted 101 why i love you.,/Products/101-Why-I-Love-You/image1.png,FALSE,hamper,"Type: Message Jar / Love Note Gift /Theme: 101 Reasons Why I Love You /Color: White, Red & Gold /Style: Romantic / Cute / Keepsake Gift /Best For: Anniversary, birthday, Valentine’s Day, surprise gifts /Packaging: Decorative jar with ribbon /Net Quantity (N): 1 /",,,gifts,101-why-i-love-you,-1,0,101 Why I Love You,A beautiful handcrafted 101 why i love you.,
diy-pearl-necklace-set,DIY Pearl Necklace Set,189,Hamper,A beautiful handcrafted diy pearl necklace set.,/Products/DIY-Pearl-Necklace-Set/image.png,FALSE,hamper,"Type: Necklace Gift Kit / Pearl Reveal Gift Box lIncludes: Pearl reveal kit + necklace pendant + gift box lTheme: Wish Pearl / Love Pearl lColor: Purple gift box with silver-toned necklace lStyle: Romantic / Surprise / Keepsake Gift lBest For: Birthday, anniversary, Valentine’s Day, proposal gift, surprise gift lNet Quantity (N): 1 Gift Set l",,,gifts,DIY-pearl-necklace-set,-1,0,DIY Pearl Necklace Set,A beautiful handcrafted diy pearl necklace set.,
crochet-sunflower-keychain,Crochet Sunflower Keychain,99,Keychain,A beautiful handcrafted crochet sunflower keychain.,/Products/Crochet-Sunflower-Keychain/image.jpg | /Products/Crochet-Sunflower-Keychain/image 2.avif,FALSE,keychain,"Color: Yellow, Brown, Green, White lMaterial: Crochet Yarn, Faux Pearls, Metal Ring lType: Handmade Keychain lStyle: Floral / Cute / Aesthetic lClosure Type: Key Ring with Hook lProduct Length: Approx. 4–5 inch lNet Quantity (N): 1 lGeneric Name: Crochet Keychain lCountry of Origin: India l",,,keychains,crochet-sunflower-keychain,-1,0,Crochet Sunflower Keychain,A beautiful handcrafted crochet sunflower keychain.,
double-side-qr-keychain,Double-Sided Scan Me QR Code Keychain,99,Keychain,"A dual-sided custom keychain featuring your Instagram/Facebook page or payment UPI QR code on one side, and a custom design or text on the other. Extremely handy for creators and business owners!",/Products/Double-side-qr-keychain/Front.png | /Products/Double-side-qr-keychain/Back.png,FALSE,keychain,Material: Dual-Layer Acrylic | Thickness: 3 mm | Length: 2.2 Inch | Breadth: 2.2 Inch | Origin: India,How do you create the QR code? | We automatically generate a high-quality QR code using the link or UPI ID you provide. We recommend verifying the link before checkout!,,,,,,,,
plushie-keychain,Cute Handcrafted Jellyfish Plushie Keychain,99,Keychain,"An incredibly soft, hand-stitched mini plushie keychain. Choose your favorite animal buddy and add a personalized custom label tag!",/Products/Plushie-keychain/Plushie_keychain.png,FALSE,keychain,"Color: Pink / Blue / Material: Crochet Yarn, Metal Ring /Type: Keychain /Style: Handmade / Cute Aesthetic /Product Length: Approx. 2–3 inch /Net Quantity (N): 1 Pair / 2 Pieces /Generic Name: Crochet Keychain /Country of Origin: India /Variant / Selection Text /Choose your color combo /Pink + Blue Pair /","Is it washable? | Yes, we recommend gentle hand washing with mild soap to maintain the softness of the plush fabric.",,,,,,,,
shinchan-messi-keychain,Shinchan Messi Figuring Keychain,109,Keychain,A beautiful handcrafted shinchan messi keychain.,/Products/Shinchan-Messi-Keychain/image 1.png | /Products/Shinchan-Messi-Keychain/image 2.png | /Products/Shinchan-Messi-Keychain/image 3.jpg,FALSE,keychain ,Color: Multicolor lMaterial: PU lType: Cartoon Keychain lShape: Oblong / Character Charm lStyle: Cute / Anime / Football Theme lProduct Dimension Unit: cm lNet Quantity (N): 1 lGeneric Name: Keychains lCountry of Origin: India l,,,keychains,shinchan-messi-keychain,-1,0,Shinchan Messi Keychain,A beautiful handcrafted shinchan messi keychain.,
hollow-knight-keychain,Hollow Knight Keychain,129,Keychain,A beautiful handcrafted hollow knight keychain.,/Products/Hollow-knight-keychain/Hollow knight.png | /Products/Hollow-knight-keychain/Hollow Knight 2.png,FALSE,keychain,"Color: White, Black, Navy Blue / Material: 3D Printed Plastic Type: Character Keychain /Style: Gaming / Cute / Collectible /Closure Type: Key Ring /Product Length: Approx. 2–3 inch /Net Quantity (N): 1 /Generic Name: 3D Printed Keychain /Country of Origin: India /",,,keychains,hollow-knight-keychain,-1,0,Hollow Knight Keychain,A beautiful handcrafted hollow knight keychain.,
strawberry-bee-keychain,Strawberry Bee Keychain,129,Keychain,A beautiful handcrafted strawberry bee keychain.,/Products/Strawberry-Bee-Keychain/strawberry_keychain.png,FALSE,keychain,"Color: Red, Gold, White, Yellow lMaterial: Alloy Metal, Resin / Enamel lType: Charm Keychain lStyle: Cute / Aesthetic / Floral lClosure Type: Heart Clasp Hook lProduct Length: Approx. 3–4 inch lNet Quantity (N): 1 lGeneric Name: Decorative Keychain lCountry of Origin: India l",,,keychains,strawberry-bee-keychain,-1,0,Strawberry Bee Keychain,A beautiful handcrafted strawberry bee keychain.,
pixelated-keychain,pixelated Custom Spotify QR & Name Keychain,129,Keychain,"A custom dual-layered laser-cut acrylic keychain  with custom pixelated styled image, name and spotify qr. Your name is engraved in a blocky 8-bit gaming font.",/Products/Pixel-cutom-keychain/Keychain.png,TRUE,pixelated,Material: Acrylic / Premium Wood | Thickness: 3 mm | Length: 3.5 Inch | Breadth: 1.2 Inch | Origin: India,Is there a protective film? | Yes! Acrylic keychains are shipped with a thin protective plastic film on both sides to prevent scratches. Please peel it off to reveal the glossy color!,,,,,,,,
hollow-knight-acrylic-keychain,Hollow Knight Acrylic Keychain,129,Keychain,Add a touch of Hallownest to your daily life with this beautiful laser-cut custom Hollow Knight keychain. Engrave your name or gamer tag on the back!,/Products/Keychain/Hollow Knight/aclylic_hollow knight.png,FALSE,key chain,Material: Laser-Cut Acrylic | Thickness: 3.5 mm | Generic Name: Anime Keychain | Origin: India,"Is it printed on both sides? | Yes! The character design is printed on both sides of the keychain, with high scratch resistance.",,,,,,,,
duck-themed-mug,Duck Themed Mug,189,Mug,A beautiful handcrafted duck themed mug.,/Products/Duck-Themed-Mug/image.png | /Products/Duck-Themed-Mug/image 2.jpg,FALSE,mug,"Color: White lMaterial: Ceramic lType: Coffee Mug lProduct Length: 8 cm lProduct Breadth: 8 cm lProduct Height: 8 cm lProduct Weight: 0.3 kg lPackaging Length: 8 cm lPackaging Breadth: 8 cm lPackaging Height: 6 cm lPackaging Weight: 0.3 kg lCapacity: 2.5 ml (double-check this once—this capacity looks incorrect in the listing) lNet Quantity (N): Pack of 1 lGeneric Name: Cups, Mugs & Saucers lCountry of Origin: India l",,,mugs,duck-themed-mug,-1,0,Duck Themed Mug,A beautiful handcrafted duck themed mug.,
ceramic-bubble-cup-saucer,Ceramic Bubble Cup Saucer,219,Mug,A beautiful handcrafted ceramic bubble cup saucer.,/Products/Ceramic-Bubble-Cup-Saucer/ceramic cup with sausage set.png,FALSE,mugs,Material: Ceramic l Type: Coffee Mug / Cup & Saucer Set lColor: Pink  lCapacity: 200 ml  lProduct Length: 10 cm lProduct Breadth: 10 cm lProduct Height: 12 cm lPackaging Length: 12 cm lPackaging Breadth: 10 cm lPackaging Height: 15 cm lPackaging Weight: 0.7 kg lNet Quantity (N): Pack of 1 lAdd Ons: No Add Ons lCountry of Origin: India l,,,gifts,ceramic-bubble-cup-saucer,-1,0,Ceramic Bubble Cup Saucer,A beautiful handcrafted ceramic bubble cup saucer.,
ceramic-heart-mug,Ceramic Heart Mug,249,Mug,A beautiful handcrafted ceramic heart mug.,/Products/Ceramic-Heart-Mug/heart mug.png | /Products/Ceramic-Heart-Mug/image 2.jpg,FALSE,mugs,"Color: Red / Cream lMaterial: Ceramic lType: Coffee Mug lCapacity: 300 ml lProduct Length: 15 cm lProduct Breadth: 12 cm lProduct Height: 15 cm lProduct Weight: 0.4 kg lPackaging Length: 15 cm lPackaging Breadth: 12 cm lPackaging Height: 15 cm lPackaging Weight: 0.4 kg lNet Quantity (N): Pack of 1 lGeneric Name: Cups, Mugs & Saucers l",,,mugs,ceramic-heart-mug,-1,0,Ceramic Heart Mug,A beautiful handcrafted ceramic heart mug.,
ceramic-coffee-mug-bow,Ceramic Coffee Mug Bow,209,Mug,A beautiful handcrafted ceramic coffee mug bow.,/Products/Ceramic-Coffee-Mug-Bow/bow mug.png,TRUE,mugs,"Material: Ceramic lType: Coffee Mug lDesign: Bow Print with 3D Bow Handle Detail lColor: White & Pink lStyle: Cute / Girly / Aesthetic Mug lBest For: Coffee, tea, gifting, desk décor, bedside mug lNet Quantity (N): 1  l",,,gifts,ceramic-coffee-mug-bow,-1,0,Ceramic Coffee Mug Bow,A beautiful handcrafted ceramic coffee mug bow.,
pixel-frame-6x4,Retro Pixel Custom Frame 6x4,179,Frame,"A blocky, 8-bit styled custom photo frame in a larger 6x4 (4x6) size. Share a photo with us during checkout and watch us transform it into beautiful, physical pixel art!",/Products/Pixel-Frame-6x4/Frame4x6.png,FALSE,pixelated,Color: White | Product Length: 10 Inch | Product Breadth: 0.5 Inch | Product Height: 14 Inch | Weight: 120 g | Material: Plastic | Type: Digital Photo Frame | Generic Name: Photo Frames | Country of Origin: India | Net Quantity (N): 1,"How do I send my photo? | After checkout, you will be redirected to WhatsApp. Send your high-res photo to us directly in the chat, and we will send you a digital mockup for approval before printing!",,,,,,pixel-frame-6x4,-1,0,Retro Pixel Custom Frame 6x4,"A blocky, 8-bit styled custom photo frame in a larger 6x4 (4x6) size.",